eval/mean_reward,model/parameters,eval/success_rate,time/total_timesteps,eval/mean_ep_length,model/extractor_type,eval/best_seq_prediction_mse,rollout/success_rate,rollout/ep_len_mean,time/iterations,rollout/ep_rew_mean,time/time_elapsed,eval/seq_prediction_mse,time/fps,train/loss,train/std,train/policy_gradient_loss,train/clip_range_vf,train/value_loss,train/approx_kl,train/clip_fraction,train/n_updates,train/entropy_loss,train/explained_variance,train/clip_range,train/learning_rate
,,,1015808,,,,0.0,205.35,31,-258.71270751953125,2938,1.2303582012653351,345,,,,,,,,,,,,
-242.545166015625,,0.0,1020000,170.6,,,,,,,,,,-0.0025707799941301346,0.740818202495575,-0.0004505461431108415,0.3,0.05959217743948102,0.003038474,0.045013427734375,310,-4.256815433502197,0.4295700788497925,0.17968384,8.069964800000001e-05
-240.18746948242188,,0.0,1040000,173.8,,,,,,,,1.1904472053050994,,,,,,,,,,,,,
,,,1048576,,,,0.0,218.38,32,-265.1097717285156,3036,1.1654448807239532,345,,,,,,,,,,,,
-257.3504333496094,,0.0,1060000,228.8,,,,,,,,,,-0.0051805805414915085,0.740818202495575,0.0004931572169880382,0.3,0.06429183837026357,0.0025692699,0.035400390625,320,-4.256815433502197,0.4205912947654724,0.17902848000000002,8.0077056e-05
-237.260986328125,,0.0,1080000,170.7,,,,,,,,1.0728209018707275,,,,,,,,,,,,,
,,,1081344,,,,0.0,243.29,33,-271.8591613769531,3140,1.178317129611969,344,,,,,,,,,,,,
-284.6686706542969,,0.0,1100000,230.0,,,,,,,,,,0.0013693422079086304,0.740818202495575,0.00021920228900853544,0.3,0.06731635578908027,0.0026729482,0.03533935546875,330,-4.256815433502197,0.43033766746520996,0.17837312,7.9454464e-05
,,,1114112,,,,0.0,229.03,34,-263.6009216308594,3221,1.1276170909404755,345,,,,,,,,,,,,
-243.93148803710938,,0.0,1120000,171.9,,,,,,,,,,0.0035202298313379288,0.740818202495575,0.00036652857743320056,0.3,0.07035361840389669,0.0026694057,0.0427978515625,340,-4.256815433502197,0.4579043388366699,0.17771776,7.8831872e-05
-263.5423889160156,,0.0,1140000,204.1,,,,,,,,1.127845686674118,,,,,,,,,,,,,
,,,1146880,,,,0.0,217.4,35,-267.5723876953125,3322,1.1272267639636993,345,,,,,,,,,,,,
-245.69924926757812,,0.0,1160000,181.0,,,,,,,,,,0.0024442821741104126,0.740818202495575,0.00018115185375791043,0.3,0.06792482347227632,0.0024799006,0.0398101806640625,350,-4.256815433502197,0.4944527745246887,0.1770624,7.820928e-05
,,,1179648,,,0.9492056131362915,0.0,204.55,36,-258.58441162109375,3399,0.9492056131362915,346,,,,,,,,,,,,
