eval/success_rate,time/total_timesteps,eval/mean_ep_length,model/parameters,model/extractor_type,eval/mean_reward,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/success_rate,eval/seq_prediction_mse,time/iterations,rollout/ep_len_mean,eval/best_seq_prediction_mse,train/explained_variance,train/clip_range_vf,train/entropy_loss,train/std,train/policy_gradient_loss,train/clip_fraction,train/n_updates,train/loss,train/approx_kl,train/learning_rate,train/clip_range,train/value_loss
0.0,1820000,364.9,,,-273.24407958984375,,,,,,,,,0.1412714123725891,0.3,-4.256815433502197,0.740818202495575,0.0004161977703915909,0.0434417724609375,110,-0.07161463052034378,0.002639345,6.575744e-05,0.16395520000000002,0.04555752268061042
,1835008,,,,,5187,-283.17010498046875,353,0.0,0.7388127386569977,56,395.18,,,,,,,,,,,,,
0.0,1840000,294.0,,,-266.15338134765625,,,,,,,,,0.13467490673065186,0.3,-4.256815433502197,0.740818202495575,0.000733809225494042,0.045654296875,112,-0.06973959505558014,0.002774526,6.5134848e-05,0.16329984,0.045717862667515874
0.0,1860000,259.3,,,-243.2647705078125,,,,,0.7403895854949951,,,,,,,,,,,,,,,
,1867776,,,,,5287,-282.2806701660156,353,0.0,0.7532366871833801,57,398.98,,,,,,,,,,,,,
0.0,1880000,223.9,,,-241.410888671875,,,,,,,,,0.16993016004562378,0.3,-4.256815433502197,0.740818202495575,0.0008042258414207026,0.03509521484375,114,-0.07021231949329376,0.0021001995,6.4512256e-05,0.16264448,0.043445405550301075
0.0,1900000,329.0,,,-275.01556396484375,,,,,0.6472768783569336,,,,,,,,,,,,,,,
,1900544,,,,,5395,-285.5849914550781,352,0.02,0.6387701213359833,58,393.93,,,,,,,,,,,,,
0.0,1920000,328.8,,,-261.13690185546875,,,,,,,,,0.1195685863494873,0.3,-4.256815433502197,0.740818202495575,0.00014925168943591416,0.0410003662109375,116,-0.07246334105730057,0.0022678198,6.3889664e-05,0.16198912000000001,0.04341396735981107
,1933312,,,,,5468,-288.4707336425781,353,0.02,0.767968338727951,59,390.43,,,,,,,,,,,,,
0.0,1940000,326.2,,,-272.7086181640625,,,,,,,,,0.14984101057052612,0.3,-4.256815433502197,0.740818202495575,0.0005765257374150679,0.040496826171875,118,-0.07247959077358246,0.002523445,6.3267072e-05,0.16133376,0.04247766174376011
0.0,1960000,362.6,,,-303.15179443359375,,,,,0.7505928754806519,,,,,,,,,,,,,,,
,1966080,,,,,5583,-288.6412658691406,352,0.0,0.7567364752292634,60,399.0,,,,,,,,,,,,,
0.0,1980000,328.8,,,-262.0030212402344,,,,,,,,,0.15131759643554688,0.3,-4.256815433502197,0.740818202495575,0.000496324646519497,0.0407257080078125,120,-0.07132960110902786,0.0024489225,6.264448e-05,0.1606784,0.04534796602092683
